"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"PSA";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX ApKa";"CX BpKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA Lipinski";"HBD Lipinski";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL1276663";"CEFOZOPRAN";"CEFOZOPRAN";"Small molecule";"0";"515.54";"10";"66";"-2.49";"184.11";"13";"2";"2";"7";"N";"0.15";"2.74";"0.07";"-4.34";"-4.63";"3";"MOL";"0";"35";"14";"3";"2";"515.0794";"ACID";"C19H17N9O5S2";"CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccn4ncccc43)CS[C@H]12)c1nsc(N)n1"
"CHEMBL1741";"CLARITHROMYCIN";"A-56268|ABBOTT-56268|BIAXIN XL|Biaxin|Biaxin XL Pac|CLARIE XL|CLARITHROMYCIN|CLARITHROMYCIN IDENTITY|CLAROSIP|Clarithromycin extended release|FEBZIN XL|KLARICID|KLARICID 500|KLARICID ADULT|KLARICID I.V.|KLARICID PAED|KLARICID XL|MYCIFOR XL|Prevpac|TE-031|XETININ XL|ZECLAR";"Small molecule";"4";"747.96";"223";"3080";"2.44";"182.91";"14";"4";"2";"8";"N";"0.27";"12.46";"8.38";"3.24";"2.22";"0";"MOL";"0";"52";"14";"4";"2";"747.4769";"NEUTRAL";"C38H69NO13";"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O"
"CHEMBL311350";"PIROMIDIC ACID";"PD-93|PIROMIDIC ACID|Piromidic acid";"Small molecule";"0";"288.31";"118";"300";"1.11";"88.32";"6";"1";"0";"3";"N";"0.91";"5.44";"4.01";"1.41";"-0.38";"2";"MOL";"0";"21";"7";"1";"0";"288.1222";"ACID";"C14H16N4O3";"CCn1cc(C(=O)O)c(=O)c2cnc(N3CCCC3)nc21"
"CHEMBL444633";"RIFABUTIN";"ANSAMYCIN|LM 427|LM-427|MYCOBUTIN|Mycobutin|RIFABUTIN";"Small molecule";"4";"847.02";"130";"1039";"4.62";"205.55";"14";"5";"2";"4";"N";"0.26";"6.88";"7.87";"3.88";"3.94";"1";"MOL";"0";"61";"15";"5";"2";"846.4415";"NEUTRAL";"C46H62N4O11";"CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O"
"CHEMBL2108111";"THYMOSTIMULIN";"THYMOSTIMULIN";"Unknown";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL537626";"CLINAFLOXACIN HYDROCHLORIDE";"CI-960 HCL|CLINAFLOXACIN HYDROCHLORIDE";"Small molecule";"0";"402.25";"10";"18";"2.36";"88.56";"5";"2";"0";"3";"N";"0.87";"5.45";"9.63";"-0.42";"-0.42";"2";"MOL";"0";"25";"6";"3";"0";"365.0942";"ZWITTERION";"C17H18Cl2FN3O3";"Cl.NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1"
"CHEMBL2108212";"ACTAPLANIN";"A-4696|ACTAPLANIN|Kamoran";"Unknown";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL1650818";"AMDINOCILLIN PIVOXIL";"AMDINOCILLIN PIVOXIL|Coactabs|PIVMECILLINAM|PIVMECILLINAM HYDROCHLORIDE|RO 10-9071|RO-10-9071|SELEXID";"Small molecule";"4";"439.58";"5";"25";"2.41";"88.51";"7";"0";"0";"5";"N";"0.21";"13.66";"7.91";"2.91";"2.28";"0";"MOL";"0";"30";"8";"0";"0";"439.2141";"NEUTRAL";"C21H33N3O5S";"CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C"
"CHEMBL1604";"CEPHRADINE";"Anspor|CEFRADINE|CEPHRADINE|Cefradine|Ecosporina|NICEF|SK&F D-39304|SK-D-39304|SQ 11436|SQ 22022 [DIHYDRATE]|SQ-11436|SQ-22022|VELOSEF '125'|VELOSEF '250'|VELOSEF '500'|Velosef";"Small molecule";"4";"349.41";"27";"108";"0.35";"112.73";"5";"3";"0";"4";"N";"0.50";"3.27";"7.60";"-2.45";"-2.64";"0";"MOL";"0";"24";"7";"4";"0";"349.1096";"ACID";"C16H19N3O4S";"CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1"
"CHEMBL137";"METRONIDAZOLE";"ACEA|ANABACT|BAY-5360|BAYER 5360|BAYER-5360|DRAZIFON|ELYZOL|FLAGYL COMPAK|FLAGYL ER|FLAGYL-400|FLAGYL-S|Flagyl|Flagyl 375|Flagyl i.v. rtu in plastic container|METRO I.V.|METROCREAM|METROGEL-VAGINAL|METROLOTION|METROLYL|METROMIDOL|METRONIDAZOLE|METROSA|METROTOP|Metric 21|Metrogel|NEUTRATOP|NORZOL|NSC-50364|NSC-69587|NUVESSA|Noritate|PROTOSTAT|ROSICED|ROZEX|RP 8823|RP-8823|SATRIC|VAGINYL|Vandazole|ZADSTAT|ZIDOVAL|ZYOMET";"Small molecule";"4";"171.16";"292";"3260";"0.09";"81.19";"5";"1";"0";"3";"N";"0.52";"None";"3.03";"-0.46";"-0.46";"1";"MOL";"0";"12";"6";"1";"0";"171.0644";"NEUTRAL";"C6H9N3O3";"Cc1ncc([N+](=O)[O-])n1CCO"
"CHEMBL1200937";"DALFOPRISTIN";"DALFOPRISTIN|RP 54476|RP-54476";"Small molecule";"4";"690.86";"5";"14";"2.27";"176.42";"11";"2";"2";"7";"N";"0.40";"13.17";"7.09";"1.58";"1.41";"1";"MOL";"0";"48";"13";"2";"2";"690.3299";"NEUTRAL";"C34H50N4O9S";"CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)/C=C(C)/C=C/CNC(=O)/C=C/[C@@H](C)[C@@H](C(C)C)OC(=O)[C@@H]12"
"CHEMBL2107409";"FUMOXICILLIN";"FU-02|FUMOXICILLIN|FUROXICILLIN";"Small molecule";"0";"443.48";"";"";"1.78";"132.44";"7";"3";"0";"6";"N";"0.46";"3.38";"0.54";"1.56";"-1.85";"2";"MOL";"0";"31";"9";"3";"0";"443.1151";"ACID";"C21H21N3O6S";"CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](/N=C/c3ccco3)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O"
"CHEMBL1688530";"ORITAVANCIN";"LY-333328|LY333328|ORITAVANCIN";"Unknown";"4";"1793.12";"28";"333";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1790.5641";"None";"C86H97Cl3N10O26";"CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O[C@H]3C[C@](C)(N)[C@@H](O)[C@H](C)O3)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(NCc3ccc(-c4ccc(Cl)cc4)cc3)[C@@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O"
"CHEMBL1200735";"MOXIFLOXACIN HYDROCHLORIDE";"AL-15469A|Avelox|BAY 12-8039|BAY-12-8039|MINIMS|MOXEZA|MOXIFLOXACIN HYDROCHLORIDE|MOXIVIG|Vigamox";"Small molecule";"4";"437.90";"26";"87";"2.37";"83.80";"6";"2";"0";"4";"N";"0.82";"5.49";"9.42";"-0.50";"-0.50";"2";"MOL";"0";"29";"7";"2";"0";"401.1751";"ZWITTERION";"C21H25ClFN3O4";"COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12.Cl"
"CHEMBL186";"CEFEPIME";"BMY-28142|CEFEPIME|J01DE01|Maxipime|RENAPIME|VNRX-5022";"Small molecule";"4";"480.57";"132";"3310";"-1.28";"150.04";"10";"2";"0";"7";"N";"0.21";"2.82";"3.62";"-4.22";"-3.45";"1";"MOL";"0";"32";"11";"3";"1";"480.1250";"ACID";"C19H24N6O5S2";"CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1"
"CHEMBL2221250";"CAPREOMYCIN";"CAPASTAT|CAPREOMYCIN";"Protein";"4";"1321.44";"6";"41";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1320.6984";"None";"C50H88N28O15";"C[C@@H]1NC(=O)[C@@H](N)CNC(=O)[C@H](C2CCNC(=N)N2)NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CNC(=O)CC(N)CCCN)NC1=O.N=C1NCCC([C@@H]2NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CNC(=O)CC(N)CCCN)NC(=O)[C@H](CO)NC(=O)[C@@H](N)CNC2=O)N1"
"CHEMBL2104884";"HEXEDINE";"HEXEDINE|Sterisol|W 4701";"Small molecule";"0";"351.62";"";"";"5.03";"9.72";"3";"0";"1";"12";"N";"0.49";"None";"7.95";"6.49";"5.83";"0";"MOL";"0";"25";"3";"0";"1";"351.3613";"NEUTRAL";"C22H45N3";"CCCCC(CC)CN1CN2CN(CC(CC)CCCC)CC2(C)C1"
"CHEMBL4594246";"SULOPENEM ETZADROXIL";"PF-03709270|PF03709270|SULOPENEM ETZADROXIL";"Small molecule";"3";"477.63";"";"";"1.80";"110.21";"9";"1";"0";"9";"N";"0.30";"None";"None";"1.05";"1.05";"0";"MOL";"0";"30";"8";"1";"0";"477.0950";"NEUTRAL";"C19H27NO7S3";"CCC(CC)C(=O)OCOC(=O)C1=C(S[C@H]2CC[S+]([O-])C2)S[C@@H]2[C@@H]([C@@H](C)O)C(=O)N12"
"CHEMBL1220";"TINIDAZOLE";"CP-12,574|CP-12574|FASIGYN|Symplotan|TINIDAZOLE|Tindamax|Trimonase";"Small molecule";"4";"247.28";"148";"683";"0.53";"95.10";"6";"0";"0";"5";"N";"0.56";"None";"3.28";"-0.58";"-0.58";"1";"MOL";"0";"16";"7";"0";"0";"247.0627";"NEUTRAL";"C8H13N3O4S";"CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C"
"CHEMBL1200366";"CEPHALEXIN HYDROCHLORIDE";"CEPHALEXIN HYDROCHLORIDE|Keftab|LY-061188";"Small molecule";"4";"401.87";"";"";"0.44";"112.73";"5";"3";"0";"4";"N";"0.68";"3.26";"7.23";"-2.14";"-2.50";"1";"MOL";"0";"24";"7";"4";"0";"347.0940";"ACID";"C16H20ClN3O5S";"CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1.Cl.O"
"CHEMBL2110851";"DROXACIN";"DROXACIN";"Small molecule";"0";"259.26";"7";"10";"1.65";"68.53";"4";"1";"0";"2";"N";"0.89";"5.75";"None";"1.61";"-0.04";"2";"MOL";"0";"19";"5";"1";"0";"259.0845";"ACID";"C14H13NO4";"CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)CCO3"
"CHEMBL1202";"CIPROFLOXACIN HYDROCHLORIDE";"BAY O 9867|BAY O 9867 MONOHYDRATE|BAY-O-9867|BAY-O-9867 MONOHYDRATE|CETRAXAL|CIPROFLOXACIN HYDROCHLORIDE|CIPROFLOXACIN HYDROCHLORIDE HYDRATE|CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE|Ciloxan|Cipro|PROQUIN XR|Proquin";"Small molecule";"4";"367.81";"22";"134";"1.58";"74.57";"5";"2";"0";"3";"N";"0.89";"5.56";"8.68";"-0.85";"-0.85";"2";"MOL";"0";"24";"6";"2";"0";"331.1332";"ZWITTERION";"C17H19ClFN3O3";"Cl.O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O"
"CHEMBL1234521";"TIAMULIN";"Denagard|SO 14055|TIAMULIN";"Small molecule";"0";"493.75";"17";"167";"4.97";"66.84";"6";"1";"0";"9";"N";"0.28";"None";"9.51";"4.50";"2.41";"0";"MOL";"0";"34";"5";"1";"0";"493.3226";"BASE";"C28H47NO4S";"C=C[C@]1(C)C[C@@H](OC(=O)CSCCN(CC)CC)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O"
"CHEMBL2104067";"CEFAPAROLE";"110264|CEFAPAROLE";"Small molecule";"0";"493.59";"";"";"1.08";"158.74";"10";"4";"0";"7";"N";"0.32";"2.72";"7.22";"-2.13";"-2.49";"2";"MOL";"0";"32";"10";"5";"0";"493.0548";"ACID";"C19H19N5O5S3";"Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)[C@H](N)c4ccc(O)cc4)[C@H]3SC2)s1"
"CHEMBL2105419";"TIOXACIN";"TIOXACIN";"Small molecule";"0";"304.33";"7";"11";"1.63";"81.30";"6";"1";"0";"2";"N";"0.78";"5.49";"None";"1.61";"-0.29";"3";"MOL";"0";"21";"6";"1";"0";"304.0518";"ACID";"C14H12N2O4S";"CCn1cc(C(=O)O)c(=O)c2c3sc(=O)n(C)c3ccc21"
"CHEMBL222645";"FLOXACILLIN";"ABBOFLOX|BRL 2039|BRL-2039|FLOXACILLIN|FLUCLOMIX-250|FLUCLOMIX-500|FLUCLOXACILLIN|FLUCLOXACILLIN SODIUM|FLUCLOXIN|Floxapen|GALFLOXIN|LADROPEN|RIMAFLOX|STAFOXIL|STAPHLIPEN|ZOXIN 250|ZOXIN 500";"Small molecule";"4";"453.88";"17";"77";"2.69";"112.74";"6";"2";"0";"4";"N";"0.68";"3.75";"None";"2.44";"-0.84";"2";"MOL";"0";"30";"8";"2";"0";"453.0561";"ACID";"C19H17ClFN3O5S";"Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12"
"CHEMBL1201121";"HETACILLIN POTASSIUM";"HETACILLIN POTASSIUM|Versapen-K";"Small molecule";"4";"427.57";"6";"10";"1.41";"89.95";"5";"2";"0";"3";"N";"0.76";"3.33";"4.79";"0.06";"-1.99";"1";"MOL";"0";"27";"7";"2";"0";"389.1409";"ACID";"C19H22KN3O4S";"CC1(C)S[C@@H]2[C@H](N3C(=O)[C@@H](c4ccccc4)NC3(C)C)C(=O)N2[C@H]1C(=O)[O-].[K+]"
"CHEMBL295691";"SANFETRINEM SODIUM";"GV 104326B|SANFETRINEM SODIUM";"Small molecule";"0";"303.29";"15";"51";"0.36";"87.07";"4";"2";"0";"3";"N";"0.73";"3.84";"None";"-0.54";"-3.79";"0";"MOL";"0";"20";"6";"2";"0";"281.1263";"ACID";"C14H18NNaO5";"CO[C@H]1CCC[C@H]2C1=C(C(=O)[O-])N1C(=O)[C@H]([C@@H](C)O)[C@@H]21.[Na+]"
"CHEMBL2104875";"TALMETOPRIM";"TALMETOPRIM";"Small molecule";"0";"420.43";"";"";"2.48";"116.87";"8";"1";"0";"6";"N";"0.60";"None";"1.85";"2.71";"2.71";"3";"MOL";"0";"31";"9";"2";"0";"420.1434";"NEUTRAL";"C22H20N4O5";"COc1cc(Cc2cnc(N3C(=O)c4ccccc4C3=O)nc2N)cc(OC)c1OC"
"CHEMBL1200881";"MINOCYCLINE HYDROCHLORIDE";"ACNAMINO|AKNEMIN|AKNEMIN 50|AMZEEQ|ARESTIN|BLEMIX 100|BLEMIX 50|CYCLOMIN|DENTOMYCIN|Dynacin|MINOCIN 50|MINOCIN MR|MINOCYCLINE HYDROCHLORIDE|MINOGAL|MINOLIRA|Minocin|NSC-141993|SEBOMIN|SEBREN MR|Solodyn|XIMINO|ZILXI";"Small molecule";"4";"493.94";"14";"37";"0.19";"164.63";"9";"5";"0";"3";"N";"0.40";"2.90";"7.90";"-2.54";"-2.61";"1";"MOL";"0";"33";"10";"6";"1";"457.1849";"ACID";"C23H28ClN3O7";"CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O.Cl"
"CHEMBL493636";"SULFANITRAN";"SULFANITRAN";"Small molecule";"0";"335.34";"18";"28";"2.35";"118.41";"5";"2";"0";"5";"N";"0.64";"7.44";"None";"1.64";"1.40";"2";"MOL";"0";"23";"8";"2";"0";"335.0576";"NEUTRAL";"C14H13N3O5S";"CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2)cc1"
"CHEMBL1747";"TOBRAMYCIN";"47663|Aktob|BETHKIS|BRAMITOB|KITABIS PAK|NEBCIN|NEBRAMYCIN FACTOR 6|NEBRIS|NSC-180514|Nebcin|Nebicin|Nebramycin|Obramycin|TOBI PODHALER|TOBRALEX|TOBRAMYCIN|TOBRAVISC|TYMBRINEB|Tobi|Tobradex|Tobradex ST|Tobrex|VANTOBRA";"Small molecule";"4";"467.52";"209";"2338";"-6.30";"268.17";"14";"10";"2";"6";"N";"0.17";"12.53";"9.54";"-6.48";"-13.16";"0";"MOL";"0";"32";"14";"15";"2";"467.2591";"BASE";"C18H37N5O9";"NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O"
"CHEMBL606260";"CARBENICILLIN DISODIUM";"BRL-2064|CARBENICILLIN DISODIUM|CARBENICILLIN DISODIUM SALT|CARBENICILLIN SODIUM|CP-15-639-2|GEOPEN|NSC-111071|PYOPEN";"Small molecule";"4";"422.37";"17";"36";"0.49";"124.01";"5";"3";"0";"5";"N";"0.50";"3.11";"None";"0.82";"-5.91";"1";"MOL";"0";"26";"8";"3";"0";"378.0886";"ACID";"C17H16N2Na2O6S";"CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+].[Na+]"
"CHEMBL1169";"AMINOSALICYLIC ACID";"4-AMINOSALICYLIC ACID|AMINOSALICYLIC ACID|AMINOSALICYLIC ACID RESIN COMPLEX|Aminosalicylic Acid|GRANUPAS|NSC-2083|P-AMINOSALICYLIC ACID|PARA-AMINOSALICYLIC ACID|PAS|Parasal|Paser|Paskalium|REZIPAS|Teebacin";"Small molecule";"4";"153.14";"165";"817";"0.67";"83.55";"3";"3";"0";"1";"N";"0.52";"3.68";"2.19";"0.83";"-2.23";"1";"MOL";"0";"11";"4";"4";"0";"153.0426";"ACID";"C7H7NO3";"Nc1ccc(C(=O)O)c(O)c1"
"CHEMBL430";"GEMIFLOXACIN";"GEMIFLOXACIN|Gemifloxacin";"Small molecule";"4";"389.39";"65";"741";"0.97";"123.04";"8";"2";"0";"5";"N";"0.73";"5.35";"9.23";"-0.91";"-0.91";"2";"MOL";"0";"28";"9";"3";"0";"389.1499";"ZWITTERION";"C18H20FN5O4";"CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN"
"CHEMBL215303";"GARENOXACIN";"GARENOXACIN";"Small molecule";"0";"426.42";"86";"334";"4.47";"80.56";"5";"2";"0";"5";"N";"0.63";"5.86";"8.88";"1.59";"1.59";"3";"MOL";"0";"31";"6";"2";"0";"426.1391";"ZWITTERION";"C23H20F2N2O4";"C[C@H]1NCc2cc(-c3ccc4c(=O)c(C(=O)O)cn(C5CC5)c4c3OC(F)F)ccc21"
"CHEMBL1276342";"CEFMINOX";"CEFMINOX|CEFMINOX SODIUM";"Small molecule";"0";"519.59";"7";"28";"-1.84";"202.86";"13";"4";"2";"11";"N";"0.14";"1.55";"8.82";"-3.63";"-6.96";"1";"MOL";"0";"33";"14";"5";"2";"519.0665";"ZWITTERION";"C16H21N7O7S3";"CO[C@@]1(NC(=O)CSC[C@@H](N)C(=O)O)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21"
"CHEMBL575";"METHICILLIN";"METHICILLIN|METICILLIN|Methicillin|Staphcillin";"Small molecule";"4";"380.42";"35";"430";"0.95";"105.17";"6";"2";"0";"5";"N";"0.73";"2.96";"None";"0.79";"-2.69";"1";"MOL";"0";"26";"8";"2";"0";"380.1042";"ACID";"C17H20N2O6S";"COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12"
"CHEMBL1013";"LORACARBEF";"LORACARBEF|LY-163892|Lorabid|Loracarbef hydrate";"Small molecule";"4";"349.77";"49";"137";"0.71";"112.73";"4";"3";"0";"4";"N";"0.69";"2.93";"7.23";"-2.40";"-2.76";"1";"MOL";"0";"24";"7";"4";"0";"349.0829";"ACID";"C16H16ClN3O4";"N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1"
"CHEMBL1730";"CEFOTAXIME";"CEFOTAXIME|Cefotaxime";"Small molecule";"4";"455.47";"324";"3959";"-0.62";"173.51";"11";"3";"1";"7";"N";"0.21";"2.73";"3.58";"-1.49";"-4.20";"1";"MOL";"0";"30";"12";"4";"1";"455.0569";"ACID";"C16H17N5O7S2";"CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1"
"CHEMBL32";"MOXIFLOXACIN";"AVELOX|AVELOX I.V.|Avelox|MOXIFLOXACIN|Moxifloxacin|Vigamox";"Small molecule";"4";"401.44";"191";"4144";"2.37";"83.80";"6";"2";"0";"4";"N";"0.82";"5.49";"9.42";"-0.50";"-0.50";"2";"MOL";"0";"29";"7";"2";"0";"401.1751";"ZWITTERION";"C21H24FN3O4";"COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12"
"CHEMBL1237124";"MECLOCYCLINE";"GS-2989|MECLOCYCLINE";"Small molecule";"0";"476.87";"3";"25";"0.22";"181.62";"9";"6";"1";"2";"N";"0.32";"2.61";"7.75";"-2.95";"-3.45";"1";"MOL";"0";"33";"10";"7";"1";"476.0986";"ACID";"C22H21ClN2O8";"C=C1c2c(Cl)ccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12"
"CHEMBL15511";"ENROFLOXACIN";"BAY VP 2674|Baytril|ENROFLOXACIN";"Small molecule";"0";"359.40";"157";"922";"2.32";"65.78";"5";"1";"0";"4";"N";"0.91";"5.52";"6.66";"1.02";"0.41";"2";"MOL";"0";"26";"6";"1";"0";"359.1645";"ACID";"C19H22FN3O3";"CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1"
"CHEMBL291157";"ROSOXACIN";"ACROSOXACIN|Acrosoxacin|ERADACIN|ROSOXACIN|Roxadyl|WIN 35,213";"Small molecule";"4";"294.31";"12";"29";"2.78";"72.19";"4";"1";"0";"3";"N";"0.81";"6.00";"4.89";"1.89";"0.71";"3";"MOL";"0";"22";"5";"1";"0";"294.1004";"ACID";"C17H14N2O3";"CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21"
