SMILES,Name,hit
CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1.Cl,DIFLOXACIN HYDROCHLORIDE,1.0
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21.Cl,LOMEFLOXACIN HYDROCHLORIDE,1.0
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,CIPROFLOXACIN,1.0
CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O.Cl.Cl,SPECTINOMYCIN HYDROCHLORIDE,1.0
CCn1cc(C(=O)[O-])c(=O)c2cc3c(cc21)OCO3.[K+],OXOLINIC ACID,1.0
COC1(NC(=O)C(C(=O)[O-])c2ccc(O)cc2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)COC21.[Na+].[Na+],MOXALACTAM DISODIUM,1.0
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)C(O)C1O.O=S(=O)(O)O,BEKANAMYCIN SULFATE,1.0
CC1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,NADIFLOXACIN,1.0
CC[Hg]Sc1ccccc1C(=O)[O-].[Na+],THIMEROSAL,1.0
Nc1nc(C(=CCC(=O)O)C(=O)NC2C(=O)N3C(C(=O)O)=CCSC23)cs1,CEFTIBUTEN,1.0
CC1CN(c2c(F)c(F)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,ORBIFLOXACIN,1.0
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,DONEPEZIL HYDROCHLORIDE,1.0
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,ENOXACIN,1.0
NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1,CEFACLOR,1.0
CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,DIMENHYDRINATE,1.0
CON=C(C(=O)NC1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(C=Cc3scnc3C)CSC12)c1csc(N)n1,CEFDITORIN PIVOXIL,1.0
Cl.O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,BUSPIRONE HYDROCHLORIDE,1.0
CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c([O-])nn3C)CSC12)c1csc(N)n1.O.O.O.[Na+].[Na+],CEFTRIAXONE SODIUM TRIHYDRATE,1.0
CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1,SPARFLOXACIN,1.0
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,RONNEL,1.0
CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,AZTREONAM,1.0
CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)OC12C,TELITHROMYCIN,1.0
COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,RIFAXIMIN,1.0
Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,AZACITIDINE,1.0
C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1,CEFDINIR,1.0
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,PIPEMIDIC ACID,1.0
COc1ccc(Cc2cnc(N)nc2N)cc1OC,DIAVERIDINE,1.0
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,MITOMYCIN,1.0
[O-][n+]1ccccc1S[Zn]Sc1cccc[n+]1[O-],PYRITHIONE ZINC,1.0
CC(C)(ON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CSC12)c1csc(N)n1)C(=O)O,CEFTAZIDIME,1.0
CCOC(=O)OC(C)OC(=O)C1N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1(C)C.Cl,BACAMPICILLIN HYDROCHLORIDE,1.0
COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C.Cl,NOSCAPINE HYDROCHLORIDE,1.0
O=C([O-])CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1.[Na+],CHLORAMPHENICOL SODIUM SUCCINATE,1.0
CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(C(=O)N(C)C)C3)C(C)C12,MEROPENEM,1.0
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12.Cl,TETRACYCLINE HYDROCHLORIDE,1.0
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],CETRIMONIUM BROMIDE,1.0
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,FLOXURIDINE,1.0
CCC(C)C1NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)CCCCC(C)C)C(C)O)CCNC(=O)C(C(C)O)NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(C(C)CC)NC1=O.[Na+].[Na+].[Na+].[Na+].[Na+],COLISTIMETHATE SODIUM,1.0
Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO,CICLOPIROX OLAMINE,1.0
CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,CINOXACIN,1.0
O=[N+]([O-])c1ccc(O)c2ncccc12,NITROXOLINE,1.0
CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O.[Cl-],BENZALKONIUM CHLORIDE HYDRATE,1.0
C=C1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C12.Cl,METHACYCLINE HYDROCHLORIDE,1.0
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,HEXACHLOROPHENE,1.0
CC(=O)O[Hg]c1ccccc1,PHENYLMERCURIC ACETATE,1.0
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12.Cl,DEMECLOCYCLINE HYDROCHLORIDE,1.0
CC(=O)Oc1ccc(Cl)c2cccnc12,CHLOROACETOXYQUINOLINE,1.0
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12.Cl,OXYTETRACYCLINE,1.0
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12.Cl,CHLORTETRACYCLINE HYDROCHLORIDE,1.0
CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21.Cl,DOXYCYCLINE HYDROCHLORIDE,1.0
CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C1C2=O.Cl,MINOCYCLINE HYDROCHLORIDE,1.0
CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)CO)OC(CO)C(O)C1O.O=S(=O)(O)O,DIHYDROSTREPTOMYCIN SESQUISULFATE [5mM/10% aq DMSO],1.0
COC1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CSC21.[Na+],CEFOXITIN SODIUM,1.0
CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],CETYLPYRIDINIUM CHLORIDE,1.0
COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,RIFAPENTINE,1.0
CCC=C(C(=O)NC1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(COC(N)=O)CSC12)c1csc(N)n1.Cl,CEFCAPENE PIVOXIL HYDROCHLORIDE,1.0
COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,RIFAMPIN,1.0
Cc1ccc(S(=O)(=O)O)cc1.NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1.O,TOSUFLOXACIN TOLUENESULFONATE HYDRATE,1.0
CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],CETALKONIUM CHLORIDE,1.0
O=S(=O)(O)O.Oc1cccc2cccnc12,OXYQUINOLINE HEMISULFATE,1.0
Oc1c(Cl)cc(Cl)c2cccnc12,CHLOROXINE,1.0
Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,BITHIONOL,0.0
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,CYCLOHEXIMIDE,0.0
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl,SERTRALINE HYDROCHLORIDE,0.0
CC1(C)SC2C(NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2C1C(=O)[O-].[Na+],AZLOCILLIN SODIUM,0.0
CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1,ETHACRIDINE LACTATE,0.0
O=C(O)C=CC(=O)O.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,QUETIAPINE FUMARATE,0.0
CC(C(=O)O)c1ccc2c(c1)Cc1cccnc1O2,PRANOPROFEN,0.0
Cl.OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,MEFLOQUINE HYDROCHLORIDE,0.0
CC(O)C1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)C(C)C12,BIAPENEM,0.0
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,PENTETIC ACID,0.0
CC1(C)C(C(=O)O)N2C(=O)CC2S1(=O)=O,SULBACTAM,0.0
Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)C(OC=O)c3ccccc3)C2SC1.[Na+],CEFAMANDOLE NAFATE,0.0
CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,THIAMPHENICOL,0.0
Oc1c(Br)cc(Br)c2cccnc12,BROXYQUINOLINE,0.0
CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1,HEXETIDINE,0.0
COC1C(O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,KITASAMYCINS [A1 shown],0.0
CN(C)N=Nc1[nH]cnc1C(N)=O,DACARBAZINE,0.0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,ERYTHROMYCIN,0.0
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,DICHLOROPHEN,0.0
CCN(CC)C(=S)SSC(=S)N(CC)CC,DISULFIRAM,0.0
Oc1ccc(Cl)c2cccnc12,CLOXYQUIN,0.0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C2NC(COCCOC)OC(C2C)C1(C)O,DIRITHROMYCIN,0.0
CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,SULOCTIDIL,0.0
COC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3,ARTEMETHER,0.0
CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,CARMOFUR,0.0
Oc1c(I)cc(Cl)c2cccnc12,CLIOQUINOL,0.0
Cc1cc(O)cc(C)c1Cl,CHLOROXYLENOL,0.0
CCCCCCc1ccc(O)cc1O,HEXYLRESORCINOL,0.0
O=c1[nH]cc(F)c(=O)[nH]1,FLUOROURACIL,0.0
Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O,PROFLAVINE HEMISULFATE,0.0
CN(C)C(=S)SSC(=S)N(C)C,THIRAM,0.0
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1.O=C(O)C=CC(=O)O,PERHEXILINE MALEATE,0.0
CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,NITAZOXANIDE,0.0
CC(=CC(=O)OCCCCCCCCC(=O)O)CC1OCC(CC2OC2C(C)C(C)O)C(O)C1O,MUPIROCIN,0.0
Cc1ccc2c(Br)cc(Br)c(OC(=O)c3ccccc3)c2n1,BROXALDINE,0.0
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12.O=P(O)(O)O,CARVEDILOL PHOSPHATE,0.0
O=C(Nc1ccccc1)c1ccccc1O,SALICYLANILIDE,0.0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,CLARITHROMYCIN,0.0
Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,FLUDARABINE PHOSPHATE,0.0
Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,CHLORMIDAZOLE,0.0
COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)C(NC(=O)C(=NOC)c3csc(N)n3)C2SC1,CEFPODOXIME PROXETIL,0.0
CCCCCCCCCCCCCCCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,CHLORAMPHENICOL PALMITATE,0.0
O=C(Nc1cc(Cl)cc(Cl)c1O)c1c(O)c(Cl)cc(Cl)c1Cl,OXYCLOZANIDE,0.0
CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,ARTEMISININ,0.0
COC(=O)NN=Cc1c[n+]([O-])c2ccccc2[n+]1[O-],CARBADOX,0.0
O=C1OC(CN2CCOCC2)CN1N=Cc1ccc([N+](=O)[O-])o1,FURALTADONE,0.0
IC(I)I,IODOFORM,0.0
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)[O-].[K+],PENICILLIN G POTASSIUM,0.0
O=S(=O)([O-])c1cc(I)c(O)c2ncccc12.[Na+],CHINIOFON,0.0
CCCCCCc1ccc(O)cc1O.Nc1c2ccccc2nc2ccccc12,ACRISORCIN,0.0
CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)[O-].[K+],PENICILLIN V POTASSIUM,0.0
S=C=NCc1ccccc1,BENZYL ISOTHIOCYANATE,0.0
O=c1[nH]cnc2c1ncn2C1CCC(CO)O1,DIDANOSINE,0.0
Cl.N=C(NN=Cc1ccc(Cl)cc1)NN=Cc1ccc(Cl)cc1,ROBENIDINE HYDROCHLORIDE,0.0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,ROXITHROMYCIN,0.0
Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21.[Cl-].[Cl-],DEQUALINIUM CHLORIDE,0.0
NC(=O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)C(NC(=O)Cc4cccs4)C3SC2)cc1,CEFALONIUM,0.0
CC1CCC2C(C)C(O)OC3OC4(C)CCC1C32OO4,ARTENIMOL,0.0
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3.[Cl-],SANGUINARIUM CHLORIDE,0.0
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,TAMOXIFEN CITRATE,0.0
CS(=O)(=O)O.CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,METITEPINE MESYLATE,0.0
Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,CLOSANTEL,0.0
NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,RIBAVIRIN,0.0
O=C(OCC1OC(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C(OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)C1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1,TANNIC ACID,0.0
O.O.O.O=C([O-])C1O[Sb]2OC(=O)C(O2)C(C(=O)[O-])O[Sb]2OC(=O)C1O2.[K+].[K+],ANTIMONY POTASSIUM TARTRATE TRIHYDRATE,0.0
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.[Cl-],ACRIFLAVINIUM HYDROCHLORIDE,0.0
O=C(O)C(S)C(S)C(=O)O,SUCCIMER,0.0
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O.CCCCCCCCCCCCCCCCCC(=O)O,ERYTHROMYCIN STEARATE,0.0
CCCCCCCCC=CCCCCCCCC(=O)[O-].[NH3+]CCO,ETHANOLAMINE OLEATE,0.0
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,DIETHYLSTILBESTROL,0.0
CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O,STREPTOZOSIN,0.0
CN(C)C(CCOc1cccc2ccccc12)c1ccccc1.Cl,DAPOXETINE HYDROCHLORIDE,0.0
