Name,SMILES,hit_inh,hit_kill
gamithromycin,[H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)N(CCC)C[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C,1.0,0.0
lomefloxacin,CCn1cc(C(O)=O)c(=O)c2cc(F)c(N3CCN[C@@H](C)C3)c(F)c12 |&1:19|,1.0,0.0
rifabutin,"CO[C@H]1\C=C\O[C@@]2(C)Oc3c(C2=O)c2C4=NC5(CCN(CC(C)C)CC5)NC4=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(=O)c2c(O)c3C |c:36,t:3,15,30,38|",1.0,0.0
piperacillin,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)c2ccccc2)C(=O)C1=O,1.0,0.0
floxuridine,OC[C@H]1O[C@H](C[C@@H]1O)n1cc(F)c(=O)[nH]c1=O,1.0,0.0
nitrofurantoin,[O-][N+](=O)c1ccc(\C=N\N2CC(=O)NC2=O)o1,1.0,0.0
methacycline,"[H][C@]12[C@H](O)[C@@]3([H])[C@H](N(C)C)C(=O)[C@H](C(N)=O)C(=O)[C@@]3(O)C(=O)[C@H]1C(=O)c1c(O)cccc1C2=C |&1:22,&2:12|",1.0,0.0
minocycline,"[H][C@@]12Cc3c(ccc(O)c3C(=O)[C@@H]1C(=O)[C@]1(O)C(=O)[C@H](C(N)=O)C(=O)[C@@H](N(C)C)[C@]1([H])C2)N(C)C |&1:19,&2:12|",1.0,0.0
diaveridine,COc1ccc(Cc2cnc(N)nc2N)cc1OC,1.0,0.0
cefixime,Nc1nc(cs1)C(=N\OCC(O)=O)\C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O |c:23|,1.0,0.0
demeclocycline,"[H][C@]12C[C@@]3([H])[C@H](N(C)C)C(=O)[C@@H](C(N)=O)C(=O)[C@@]3(O)C(=O)[C@H]1C(=O)c1c(O)ccc(Cl)c1[C@H]2O |&1:11,&2:21|",1.0,0.0
Ro-3,COc1cc(Cc2cnc(N)nc2N)c(cc1OC)C(C)C,1.0,0.0
erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1.0,0.0
cefaclor,N[C@@H](C(=O)N[C@H]1[C@H]2SCC(Cl)=C(N2C1=O)C(O)=O)c1ccccc1 |c:10|,1.0,0.0
cefodizime,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(CSc3nc(C)c(CC(O)=O)s3)=C(N2C1=O)C(O)=O)c1csc(N)n1 |c:24|,1.0,0.0
auranofin,CCP(CC)(CC)=[Au]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,1.0,0.0
amodiaquine,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,1.0,0.0
enoxacin,CCn1cc(C(O)=O)c(=O)c2cc(F)c(nc12)N1CCNCC1,1.0,0.0
hydroquinone,Oc1ccc(O)cc1,0.0,0.0
2-methyl-5-nitrophenol,Cc1ccc(cc1O)[N+]([O-])=O,0.0,0.0
cimetidine,CN\C(NCCSCc1[nH]cnc1C)=N/C#N,0.0,0.0
NN-DNJ,CCCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,0.0,0.0
vecuronium,CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1,0.0,0.0
LY411575,C[C@H](NC(=O)[C@@H](O)c1cc(F)cc(F)c1)C(=O)N[C@H]1c2ccccc2-c2ccccc2N(C)C1=O,0.0,0.0
FGIN-1-27,CCCCCCN(CCCCCC)C(=O)Cc1c([nH]c2ccccc12)-c1ccc(F)cc1,0.0,0.0
allopurinol-riboside,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ncc2c(O)ncnc12,0.0,0.0
AC-710,CCN1C(C)(C)CC(CC1(C)C)Oc1ccc(nc1)C(=O)Nc1ccc(NC(=O)Nc2cc(on2)C(C)(C)C)cc1,0.0,0.0
bisphenol-A,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0.0,0.0
ephedrine,CN[C@@H](C)[C@H](O)c1ccccc1,0.0,0.0
cenobamate,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,0.0,0.0
deoxyarbutin,"Oc1ccc(O[C@H]2CCCCO2)cc1 |&1:6,r|",0.0,0.0
hexamethonium,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.0,0.0
NVS-PAK1-1,CC(C)NC(=O)N1CC[C@@H](C1)NC1=Nc2cc(F)ccc2N(CC(F)F)c2ccc(Cl)cc12 |t:13|,0.0,0.0
propylene-glycol,"C[C@@H](O)CO |&1:1,r|",0.0,0.0
astragaloside-a,CC(C)(O)[C@H]1CC[C@](C)(O1)[C@H]1[C@@H](O)C[C@@]2(C)[C@@H]3C[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]4[C@]5(C[C@@]35CC[C@]12C)CC[C@H](O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O)C4(C)C,0.0,0.0
PP-121,Nc1ncnc2n(nc(-c3cnc4[nH]ccc4c3)c12)C1CCCC1,0.0,0.0
tavaborole,OB1OCc2cc(F)ccc12,0.0,0.0
RG7834,COCCCOc1cc2C[C@@H](C(C)C)n3cc(C(O)=O)c(=O)cc3-c2cc1OC,0.0,0.0
amthamine,Cc1nc(N)sc1CCN,0.0,0.0
ditolylguanidine,Cc1ccccc1NC(=N)Nc1ccccc1C,0.0,0.0
GM-1485,CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(O)=O,0.0,0.0
RS-67333,CCCCN1CCC(CCC(=O)c2cc(Cl)c(N)cc2OC)CC1,0.0,0.0
NMS-1286937,CN1CCN(CC1)c1ccc(OC(F)(F)F)c(Nc2ncc3CCc4c(nn(CCO)c4-c3n2)C(N)=O)c1,0.0,0.0
GNF-2,NC(=O)c1cccc(c1)-c1cc(Nc2ccc(OC(F)(F)F)cc2)ncn1,0.0,0.0
adoprazine,Fc1ccc(cc1)-c1cncc(CN2CCN(CC2)c2cccc3OCCOc23)c1,0.0,0.0
indoramin,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,0.0,0.0
olomoucine,Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc12,0.0,0.0
SB-200646,Cn1ccc2cc(NC(=O)Nc3cccnc3)ccc12,0.0,0.0
proquazone,CC(C)n1c2cc(C)ccc2c(nc1=O)-c1ccccc1,0.0,0.0
ambroxol,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1 |r|,0.0,0.0
levocabastine,C[C@@H]1CN(CC[C@]1(C(O)=O)c1ccccc1)[C@H]1CC[C@](CC1)(C#N)c1ccc(F)cc1,0.0,0.0
methylparaben,COC(=O)c1ccc(O)cc1,0.0,0.0
PD-156707,COc1ccc(cc1)C(=O)C(\Cc1cc(OC)c(OC)c(OC)c1)=C(/C(O)=O)c1ccc2OCOc2c1,0.0,0.0
V-51,COc1cc(CN2CCN(CC2)c2ccc(F)cc2)cc(OC)c1OC,0.0,0.0
deptropine,"CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC1c2ccccc2CCc2ccccc12 |r,THB:0:1:3.4:6.7.8|",0.0,0.0
nepafenac,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,0.0,0.0
ivabradine,COc1cc2C[C@H](CN(C)CCCN3CCc4cc(OC)c(OC)cc4CC3=O)c2cc1OC,0.0,0.0
L-asparagine,N[C@@H](CC(N)=O)C(O)=O,0.0,0.0
VE-821,CS(=O)(=O)c1ccc(cc1)-c1cnc(N)c(n1)C(=O)Nc1ccccc1,0.0,0.0
urea,NC(N)=O,0.0,0.0
methimazole,Cn1cc[nH]c1=S,0.0,0.0
benperidol,Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)n1c2ccccc2[nH]c1=O,0.0,0.0
GSK-J4,CCOC(=O)CCNc1cc(nc(n1)-c1ccccn1)N1CCc2ccccc2CC1,0.0,0.0
phenothrin,"CC(C)=C[C@H]1[C@@H](C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C |&1:4,&2:5,r|",0.0,0.0
veliparib,C[C@@]1(CCCN1)c1nc2cccc(C(N)=O)c2[nH]1,0.0,0.0
L-161982,CCCCc1nn(-c2ccccc2C(F)(F)F)c(=O)n1Cc1ccc(cc1)-c1ccccc1S(=O)(=O)NC(=O)c1sccc1C,0.0,0.0
PQ-401,COc1ccc(Cl)cc1NC(=O)Nc1cc(C)nc2ccccc12,0.0,0.0
BX-912,Brc1cnc(Nc2cccc(NC(=O)N3CCCC3)c2)nc1NCCc1cnc[nH]1,0.0,0.0
cantharidin,C[C@]12[C@@H]3CC[C@@H](O3)[C@@]1(C)C(=O)OC2=O,0.0,0.0
ebastine,CC(C)(C)c1ccc(cc1)C(=O)CCCN1CCC(CC1)OC(c1ccccc1)c1ccccc1,0.0,0.0
8-hydroxy-PIPAT,CCCN(C\C=C\I)[C@H]1CCc2cccc(O)c2C1 |&1:8|,0.0,0.0
cytisine,O=c1cccc2[C@H]3CNC[C@H](C3)Cn12,0.0,0.0
TUG-891,Cc1ccc(cc1)-c1ccc(F)cc1COc1ccc(CCC(O)=O)cc1,0.0,0.0
dasabuvir,COc1c(cc(cc1C(C)(C)C)-n1ccc(=O)[nH]c1=O)-c1ccc2cc(NS(C)(=O)=O)ccc2c1,0.0,0.0
OSI-420,COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCO,0.0,0.0
dabigatran,Cn1c(CNc2ccc(cc2)C(N)=N)nc2cc(ccc12)C(=O)N(CCC(O)=O)c1ccccn1,0.0,0.0
tazobactam,C[C@]1(Cn2ccnn2)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(O)=O,0.0,0.0
CPP,OC(=O)[C@H]1CN(CCCP(O)(O)=O)CCN1,0.0,0.0
iopanic-acid,"CC[C@@H](Cc1c(I)cc(I)c(N)c1I)C(O)=O |&1:2,r|",0.0,0.0
nimustine,Cc1ncc(CNC(=O)N(CCCl)[NH2+][O-])c(N)n1,0.0,0.0
GSK2256294A,CNc1nc(C)nc(N[C@H]2CCC[C@H](C2)C(=O)NCc2ccc(cc2C(F)(F)F)C#N)n1,0.0,0.0
PTC-028,Cc1nc2cc(F)c(F)cc2n1-c1cncc(Nc2ccc(cc2)C(F)(F)F)n1,0.0,0.0
CCT-031374,O=C(CN1C2=NCCN2c2ccccc12)c1ccc(cc1)-c1ccccc1 |t:4|,0.0,0.0
acamprosate,CC(=O)NCCCS(O)(=O)=O,0.0,0.0
KRCA-0008,COc1cc(ccc1Nc1ncc(Cl)c(Nc2ccc(cc2OC)N2CCN(CC2)C(C)=O)n1)N1CCN(CC1)C(C)=O,0.0,0.0
ANR-94,CCOc1nc2c(N)ncnc2n1CC,0.0,0.0
KB-R7943,NC(=N)SCCc1ccc(OCc2ccc(cc2)[N+]([O-])=O)cc1,0.0,0.0
L-ascorbyl-6-palmitate,"CCCCCCCCCCCCCCCC(=O)OC[C@H](O)[C@H]1OC(=O)C(=O)[C@@H]1O |a:19,21,&1:27|",0.0,0.0
BW-B70C,"C[C@@H](\C=C\c1cccc(Oc2ccc(F)cc2)c1)N(O)C(N)=O |&1:1,r|",0.0,0.0
bucillamine,CC(C)(S)C(=O)N[C@@H](CS)C(O)=O,0.0,0.0
IEM1754,NCCCCCNCC12CC3CC(CC(C3)C1)C2,0.0,0.0
harringtonine,[H][C@@]12[C@H](OC(=O)[C@@](O)(CCC(C)(C)O)CC(=O)OC)C(OC)=C[C@@]11CCCN1CCc1cc3OCOc3cc21 |c:21|,0.0,0.0
hydroxypropyl-beta-cyclodextrin,"C[C@@H](O)COC[C@H]1O[C@@H]2O[C@@H]3[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]4[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]5[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]6[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]7[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]8[C@@H](COC[C@@H](C)O)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O |a:6,8,10,11,19,21,22,30,32,33,41,43,44,52,54,55,63,65,66,74,76,77,79,81,83,85,87,89,91,93,95,97,99,101,103,&1:1,&2:15,&3:26,&4:37,&5:48,&6:59,&7:70|",0.0,0.0
trandolapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H]2CCCC[C@@H]2C[C@H]1C(O)=O,0.0,0.0
4-CMTB,"CC(C)[C@@H](C(=O)Nc1nccs1)c1ccc(Cl)cc1 |&1:3,r|",0.0,0.0
nalfurafine,CN([C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC1CC1)c45)C(=O)\C=C\c1ccoc1,0.0,0.0
PP-2,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc12,0.0,0.0
cypermethrin,"CC1(C)[C@@H](C=C(Cl)Cl)[C@@H]1C(=O)O[C@@H](C#N)c1cccc(Oc2ccccc2)c1 |&1:3,&2:8,&3:12,r|",0.0,0.0
LY255283,CCc1cc(C(C)=O)c(O)cc1OCCCCCC(C)(C)c1nn[nH]n1,0.0,0.0
GW-501516,Cc1nc(sc1CSc1ccc(OCC(O)=O)c(C)c1)-c1ccc(cc1)C(F)(F)F,0.0,0.0
diacetamate,CC(=O)Nc1ccc(OC(C)=O)cc1,0.0,0.0
bumetanide,CCCCNc1cc(cc(c1Oc1ccccc1)S(N)(=O)=O)C(O)=O,0.0,0.0
omega-(4-iodophenyl)pentadecanoic-acid,OC(=O)CCCCCCCCCCCCCCc1ccc(I)cc1,0.0,0.0
nelociguat,COC(=O)Nc1c(N)nc(nc1N)-c1nn(Cc2ccccc2F)c2ncccc12,0.0,0.0
D-delta-tocopherol,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2cc(O)cc(C)c2O1,0.0,0.0
exo-IWR-1,O=C(Nc1cccc2cccnc12)c1ccc(cc1)N1C(=O)[C@H]2[C@H]3C[C@H](C=C3)[C@H]2C1=O |c:29|,0.0,0.0
fenbendazole,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1,0.0,0.0
flutamide,CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,0.0,0.0
acetriazoic-acid,CC(=O)Nc1c(I)cc(I)c(C(O)=O)c1I,0.0,0.0
elvitegravir,COc1cc2n(cc(C(O)=O)c(=O)c2cc1Cc1cccc(Cl)c1F)[C@H](CO)C(C)C,0.0,0.0
TC-OT-39,CN1CCCN(CC1)C(=S)[C@@H]1CCCN1C(=O)NCc1ccc(cc1C)C(=O)N1Cc2cnn(C)c2Nc2ccccc12,0.0,0.0
E3330,"CCCCCCCCC\C(=C/C1=C(C)C(=O)C(OC)=C(OC)C1=O)C(O)=O |c:11,t:18|",0.0,0.0
sulfanitran,CC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)[N+]([O-])=O,0.0,0.0
OLDA,CCCCCCCC\C=C/CCCCCCCC(=O)NCCc1ccc(O)c(O)c1,0.0,0.0
SR-2640,OC(=O)c1ccccc1Nc1cccc(OCc2ccc3ccccc3n2)c1,0.0,0.0
SD-2590,COCCN1CCC(CC1)(C(=O)NO)S(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1,0.0,0.0
histamine,NCCc1cnc[nH]1,0.0,0.0
amantadine,NC12CC3CC(CC(C3)C1)C2,0.0,0.0
LY3000328,CNC(=O)O[C@H]1COc2ccc(cc2[C@@H]1NC(=O)c1ccc(F)cc1)N1CCN(CC1)C1COC1,0.0,0.0
propatylnitrate,CCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,0.0,0.0
CZC24832,CC(C)(C)NS(=O)(=O)c1cncc(c1)-c1cc(F)c2nc(N)nn2c1,0.0,0.0
VT-464,CC(C)[C@@](O)(c1cn[nH]n1)c1ccc2cc(OC(F)F)c(OC(F)F)cc2c1,0.0,0.0
CCMQ,OC(=O)Cc1cc2ccccc2nc1C(O)=O,0.0,0.0
BRL-54443,CN1CCC(CC1)c1c[nH]c2ccc(O)cc12,0.0,0.0
piclamilast,COc1ccc(cc1OC1CCCC1)C(=O)Nc1c(Cl)cncc1Cl,0.0,0.0
oleoylethanolamide,CCCCCCCC\C=C/CCCCCCCC(=O)NCCO,0.0,0.0
phloroglucin,Oc1cc(O)cc(O)c1,0.0,0.0
ravuconazole,C[C@@H](c1nc(cs1)-c1ccc(cc1)C#N)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,0.0,0.0
bromopride,CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,0.0,0.0
naloxone,Oc1ccc2C[C@H]3N(CC=C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,0.0,0.0
streptozotocin,CN([NH2+][O-])C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,0.0,0.0
FK-3311,CC(=O)c1ccc(NS(C)(=O)=O)c(Oc2ccc(F)cc2F)c1,0.0,0.0
GW-542573X,COc1ccccc1NC(=O)OCC1CCN(CC1)C(=O)OC(C)(C)C,0.0,0.0
L-cysteine,N[C@@H](CS)C(O)=O,0.0,0.0
squaric-acid-dibutyl-ester,CCCCOc1c(OCCCC)c(=O)c1=O,0.0,0.0
ASA-404,Cc1ccc2c(oc3c(CC(O)=O)cccc3c2=O)c1C,0.0,0.0
VCH-916,"CO[C@H]1CC[C@@H](CC1)N(C(=O)[C@H]1CC[C@H](C)CC1)c1cc(sc1C(O)=O)C1=CCCCC1 |r,t:29|",0.0,0.0
GNTI,NC(=N)Nc1ccc2[nH]c3[C@@H]4Oc5c6c(C[C@H]7N(CC8CC8)CC[C@@]46[C@@]7(O)Cc3c2c1)ccc5O,0.0,0.0
acitazanolast,OC(=O)C(=O)Nc1cccc(c1)-c1nn[nH]n1,0.0,0.0
NVP-AEW541,Nc1ncnc2n(cc(-c3cccc(OCc4ccccc4)c3)c12)[C@@H]1C[C@H](CN2CCC2)C1 |r|,0.0,0.0
ML179,FC(F)(F)c1cccc(c1)N1CCN(CC1)c1cc(=O)n(C2CCCCC2)c(=O)[nH]1,0.0,0.0
CI-923,"CCN[C@@H](C)CN1CCc2c(C1)c(=O)oc1ccccc21 |&1:3,r|",0.0,0.0
pyrazolanthrone,O=C1c2ccccc2-c2[nH]nc3cccc1c23,0.0,0.0
BGP-15,"O[C@H](CONC(=N)c1cccnc1)CN1CCCCC1 |&1:1,r|",0.0,0.0
mestinon,CN(C)C(=O)Oc1ccc[n+](C)c1,0.0,0.0
ZD-7114,COCCNC(=O)COc1ccc(OCCNC[C@H](O)COc2ccccc2)cc1,0.0,0.0
PI-103,Oc1cccc(c1)-c1nc(N2CCOCC2)c2oc3ncccc3c2n1,0.0,0.0
1-octacosanol,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,0.0,0.0
CC-90003,COc1cc(Nc2ncc(c(Nc3ccc(C)cc3NC(=O)C=C)n2)C(F)(F)F)c(C)cn1,0.0,0.0
antagonist-g,CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)N(C)C(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCCNC(N)=N)C(N)=O,0.0,0.0
efavirenz,FC(F)(F)[C@]1(OC(=O)Nc2ccc(Cl)cc12)C#CC1CC1,0.0,0.0
bacitracin,CC[C@H](C)[C@H](N)C1=N[C@@H](CS1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@H]1CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(O)=O)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@@H](CCCN)NC1=O)[C@@H](C)CC |t:6|,0.0,0.0
mecysteine,COC(=O)[C@@H](N)CS,0.0,0.0
3-deazaneplanocin-A,Nc1nccc2n(cnc12)[C@@H]1C=C(CO)[C@@H](O)[C@H]1O |t:13|,0.0,0.0
leuprolide,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1,0.0,0.0
ractopamine,"C[C@@H](CCc1ccc(O)cc1)NC[C@@H](O)c1ccc(O)cc1 |&1:1,&2:13,r|",0.0,0.0
CCG-50014,Cc1ccc(cc1)-n1sc(=O)n(Cc2ccc(F)cc2)c1=O,0.0,0.0
defactinib,CNC(=O)c1ccc(Nc2ncc(c(NCc3nccnc3N(C)S(C)(=O)=O)n2)C(F)(F)F)cc1,0.0,0.0
rebastinib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(nn3-c3ccc4ncccc4c3)C(C)(C)C)c(F)c2)ccn1,0.0,0.0
lovastatin,"CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12 |c:13,t:11|",0.0,0.0
L-citrulline,"N[C@@H](CCCNC(N)=O)C(O)=O |&1:1,r|",0.0,0.0
7-hydroxy-DPAT,CCCN(CCC)[C@H]1CCc2ccc(O)cc2C1 |&1:7|,0.0,0.0
PhiKan-083,CCn1c2ccccc2c2cc(CNC)ccc12,0.0,0.0
AZD9668,Cc1c(cc(C(=O)NCc2ccc(cn2)S(C)(=O)=O)c(=O)n1-c1cccc(c1)C(F)(F)F)-c1ccnn1C,0.0,0.0
tolmetin,Cc1ccc(cc1)C(=O)c1ccc(CC(O)=O)n1C,0.0,0.0
AS-2034178,OC(=O)CCc1ccc(NCc2cccc3N(CCOc4ccccc4)CCCc23)cc1F,0.0,0.0
triciribine-phosphate,Cn1nc(N)c2cn([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)c3ncnc1c23,0.0,0.0
droloxifene,CC\C(=C(\c1ccc(OCCN(C)C)cc1)c1cccc(O)c1)c1ccccc1,0.0,0.0
sumatriptan,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,0.0,0.0
digitoxigenin,C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@@H](O)CC[C@]34C)[C@@]1(O)CC[C@@H]2C1=CC(=O)OC1 |t:25|,0.0,0.0
esaprazole,O=C(CN1CCNCC1)NC1CCCCC1,0.0,0.0
cilazapril,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCCN2CCC[C@H](N2C1=O)C(O)=O,0.0,0.0
puromycin,COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)O[C@H]([C@@H]2O)n2cnc3c(ncnc23)N(C)C)cc1,0.0,0.0
lurasidone,O=C1[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(CC1)c1nsc2ccccc12,0.0,0.0
NBI-27914,CCCN(CC1CC1)c1nc(C)nc(Nc2c(Cl)cc(Cl)cc2Cl)c1Cl,0.0,0.0
flunarizine,Fc1ccc(cc1)C(N1CCN(C\C=C\c2ccccc2)CC1)c1ccc(F)cc1,0.0,0.0
talarozole,"CCC(CC)[C@@H](c1ccc(Nc2nc3ccccc3s2)cc1)n1cncn1 |&1:5,r|",0.0,0.0
