SMILES,Name,hit_inh,hit_kill
"CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC(=O)C[N+](C)(C)CCCCCCCCCC[N+](C)(C)CC(=O)O[C@H]1C[C@H](C)CC[C@@H]1C(C)C |&1:40,&2:36,&3:34,&4:9,&5:6,&6:3|",decamethoxine,True,True
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,hexachlorophene,True,True
CSc1ccccc1Nc1nc(nc2c(NCC3CC3)ncnc12)N1CCNCC1,KHK-IN-1,False,True
O[C@@H](CN1CCNCC1)Cn1c2ccc(Br)cc2c2cc(Br)ccc12 |&1:1|,BAX-channel-blocker,True,True
CN(C)c1ccc2nc3ccc(cc3sc2c1)=[N+](C)C,methylene-blue,False,True
[O-][N+](=O)c1ccc2C=CS(=O)(=O)c2c1 |c:7|,stattic,True,True
C[n+]1c2cc(N)ccc2cc2ccc(N)cc12,acriflavinium,False,True
"CN([NH2+][O-])C(=O)N[C@@H](C=O)[C@@H](O)[C@@H](O)[C@@H](O)CO |&1:7,&2:10,&3:12,&4:14,r|",2-deoxy-2-([methyl(nitroso)carbamoyl]amino)hexose,False,True
Cc1ccc(cc1)S(=O)(=O)\C=C\C#N,BAY-11-7082,True,True
Nc1ccc2cc3ccc(N)cc3nc2c1.C[n+]1c2cc(N)ccc2cc2ccc(N)cc12,acriflavine,False,True
"[O-][N+](=O)c1ccc(\C=N\N2C[C@@H](CN3CCOCC3)OC2=O)o1 |&1:11,r|",furaltadone,True,True
Nc1c2ccccc2nc2ccccc12,9-aminoacridine,False,True
Fc1cc(cc(F)c1CN1CCOCC1)-c1cccc2ncc(nc12)-c1cnn(c1)C1CCNCC1,NVP-BSK805,False,True
"COC1=C(OC)C(=O)C(CCCCCCCCCC[P+](c2ccccc2)(c2ccccc2)c2ccccc2)=C(C)C1=O |c:2,t:40|",mitoquinone,True,True
CCCC[P+](CCCC)(CCCC)Cc1ccc(NC(=O)[C@H](Cc2ccc3ccccc3c2)N\C(NC2CCCCC2)=N\C2CCCCC2)cc1,WIN-64338,True,True
CC(=O)O[Pt](N)(Cl)(Cl)(NC1CCCCC1)OC(C)=O,satraplatin,False,True
"[H][C@@]12Cc3c(F)cc(NC(=O)CN4CCCC4)c(O)c3C(=O)[C@H]1C(=O)[C@]1(O)C(=O)[C@H](C(N)=O)C(=O)[C@@H](N(C)C)[C@]1([H])C2 |&1:29,&2:22|",eravacycline,True,True
Oc1ccc(cc1O)C(=O)Nc1nc(c(s1)-c1ccccc1)-c1ccc(O)c(O)c1,COH29,True,True
CN(C)c1ccc2Nc3ccc(cc3Sc2c1)N(C)C,leucomethylene-blue,False,True
[O-][N+](=O)c1ccc(\C=N\N2CCOC2=O)o1,furazolidone,True,True
Oc1ccc(CCNCCN(C2CCCCC2)C(=O)CCNCCc2ccc(Cl)c(Cl)c2)c2OCC(=O)Nc12,AZ505,False,True
COc1cc2nc(nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC)N1CCCN(C)CC1,BIX-01294,False,True
C[n+]1cc2c3OCOc3ccc2c2ccc3cc4OCOc4cc3c12,sanguinarium-chloride,False,True
Nc1nc(c(F)cc1F)-n1cc(C(O)=O)c(=O)c2cc(F)c(N3CC(O)C3)c(Cl)c12,delafloxacin,True,True
Nc1nnc(Sc2ncc(s2)[N+]([O-])=O)s1,SU3327,True,True
CNc1ncc(cc1C)-c1ccc2c(c1C)n(cc(C(O)=O)c2=O)C1CC1,ozenoxacin,True,True
N[C@H]1CCN(C1)c1c(F)cc2c(c1Cl)n(cc(C(O)=O)c2=O)C1CC1 |&1:1|,clinafloxacin,True,True
N[C@H]1CCN(C1)c1nc2n(cc(C(O)=O)c(=O)c2cc1F)-c1ccc(F)cc1F |&1:1|,tosufloxacin,True,True
COc1c(N2CCN[C@@H](C)C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1 |&1:8|,gatifloxacin,True,True
N[C@H]1[C@@H]2CN(C[C@H]12)c1nc2n(cc(C(O)=O)c(=O)c2cc1F)-c1ccc(F)cc1F,trovafloxacin,True,True
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c1n(cc(C(O)=O)c2=O)C1CC1,moxifloxacin,True,True
C[C@H]1NCc2cc(ccc12)-c1ccc2c(c1OC(F)F)n(cc(C(O)=O)c2=O)C1CC1,garenoxacin,True,True
CCn1cc(C(O)=O)c(=O)c2cc(F)c(cc12)N1CCNCC1,norfloxacin,True,True
C1CCC(CC1)c1ccc2n3CCNC4CCCc(c34)c2c1,tetrindole,True,True
CN1CCN(CC1)c1cc2n(cc(C(O)=O)c(=O)c2cc1F)-c1ccc(F)cc1,difloxacin,True,True
OC(=O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O,sarafloxacin,True,True
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O,levofloxacin,True,True
C[C@H]1CN(C[C@@H](C)N1)c1c(F)c(N)c2c(c1F)n(cc(C(O)=O)c2=O)C1CC1,sparfloxacin,True,False
CO\N=C1/CN(C[C@@H]1CN)c1nc2n(cc(C(O)=O)c(=O)c2cc1F)C1CC1 |&1:7|,gemifloxacin,True,False
CCn1c2ccccc2c2cc(Nc3ccnc(NCCCN4CCOCC4)n3)ccc12,EHop-016,False,False
Oc1ccc(O)cc1,hydroquinone,False,False
C[C@H]1COc2c(c(F)cc3c2n1cc(C(O)=O)c3=O)C1(N)CC1,pazufloxacin,True,False
"C[C@H]1Sc2c(C(O)=O)c(=O)c3cc(F)c(cc3n12)N1CCNCC1 |&1:1,r|",ulifloxacin,True,False
"C[C@H]1Sc2c(C(O)=O)c(=O)c3cc(F)c(cc3n12)N1CCN(Cc2oc(=O)oc2C)CC1 |&1:1,r|",prulifloxacin,True,False
C(Cc1c[nH]c2ccccc12)Nc1ccc(Nc2ccncc2)cc1,serdemetan,False,False
CN1C[C@@H]2C[C@H]1CN2c1cc2n(cc(C(O)=O)c(=O)c2cc1F)C1CC1,danofloxacin,True,False
CCN1CCN(CC1)c1cc2n(cc(C(O)=O)c(=O)c2cc1F)C1CC1,enrofloxacin,True,False
C(Nc1nc(NCc2ccccc2)c2ccccc2n1)c1ccccc1,DBeQ,False,False
CCNCCc1ccc(CN(CC)c2cc(OC)ccc2[C@@H]2CCc3cc(O)ccc3C2)cc1,elacestrant,False,False
Clc1ccc(cc1)C1(CCNCC1)c1ccc(cc1)-c1cn[nH]c1,AT7867,False,False
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12,chlorpromazine,False,False
N[C@H](CCCNC(N)=N)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC(=O)N[C@@H](Cc1cccs1)C(=O)N[C@@H](CO)C(=O)N1Cc2ccccc2C[C@@H]1C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(=O)N[C@@H](CCCNC(N)=N)C(O)=O,icatibant-acetate,False,False
CCc1cc(O)c(Oc2ccc(cc2F)C(N)=O)cc1F,MUT056399,True,False
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,zidovudine,True,False
Cc1cccc(NC(=O)CN2CCC(CC2)c2ccccn2)c1,A-412997,False,False
CCN(CC)CCC[C@@H](C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12 |&1:8|,mepacrine,False,False
"C[C@@H](O)[C@@H]1[C@H]2SC(S[C@H]3CC[S@@](=O)C3)=C(N2C1=O)C(O)=O |&1:11,c:14|",sulopenem,True,False
"C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(SC3CN(C3)C3=NCCS3)=C(N2C1=O)C(=O)OCOC(=O)C(C)(C)C |c:19,t:14|",tebipenem,True,False
NC(=O)OC[C@@H]1[C@H](NC(=O)C(=N/OCC(O)=O)\c2csc(N)n2)C(=O)N1S(O)(=O)=O,carumonam,True,False
"C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(O)(O)=O |c:11,t:7|",betamethasone-phosphate,False,False
OCc1ccc(s1)-c1ccc(o1)-c1ccc(CO)s1,RITA,False,False
[H][C@]12SCC(CSc3nnnn3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\c1csc(N)n1)C(O)=O |c:13|,cefmenoxime,True,False
C[C@@H]1OCC2(CCN(CC2)c2nc(C)c(nc2CO)-c2cccc(Cl)c2Cl)[C@@H]1N,RMC-4550,False,False
[H][C@]12SCC(\C=C3/CCN([C@@H]4CCNC4)C3=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/O)\c1nsc(N)n1)C(O)=O |c:18|,ceftobiprole,True,False
C[C@H]1CN(C[C@@H](C)N1)c1c(F)c(F)c2c(c1F)n(cc(C(O)=O)c2=O)C1CC1,orbifloxacin,True,False
"C[C@H]1CCc2c(N3CCC(O)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O |&1:1,r|",nadifloxacin,True,False
CC(=O)O[Hg]c1ccccc1,phenylmercuric-acetate,False,False
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,kanamycin,False,False
OC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,ciprofloxacin,False,False
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O |&1:1|,ofloxacin,True,False
NC[C@H]1OB(O)c2c1cccc2OCCCO,epetraborole,True,False
Oc1ccc(cc1)C(=O)N\N=C\c1ccc(o1)[N+]([O-])=O,nifuroxazide,False,False
Cc1ccc(cc1O)[N+]([O-])=O,2-methyl-5-nitrophenol,False,False
N[C@@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc12,dasotraline,False,False
[H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)N(CCC)C[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C,gamithromycin,True,False
CCCCc1ncc(\C=C(/Cc2cccs2)C(O)=O)n1Cc1ccc(cc1)C(O)=O,eprosartan,False,False
CN\C(NCCSCc1[nH]cnc1C)=N/C#N,cimetidine,False,False
"CC(C)CCC[C@@H](C)N |&1:6,r|",octodrine,False,False
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(Cn3ccc(=N)n3CCO)=C(N2C1=O)C(O)=O)c1csc(N)n1 |c:22|,cefoselis,True,False
[H][C@@]12CC(=O)C(=CC)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C |t:20|,GR-235,False,False
C1Cc2[nH]nc(-c3nn[nH]n3)c2C1,MK-0354,False,False
"[H][C@]12C[C@H]3C[C@]([H])(C[C@]3(C1)c1nc3n(CCCO)c(=O)n(CCCC)c(=O)c3[nH]1)C2 |r,THB:9:1:4:7.8|",PSB-36,False,False
OC(=O)\C=C\c1ccc(O)c(O)c1,caffeic-acid,False,False
Cc1nccn1Cc1ccccn1,NDD-094,False,False
O=C(CSc1nc2CCSc2c(=O)n1-c1ccccc1)Nc1ccc(cn1)-c1ccccc1,IWP-L6,False,False
CCCCCCCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,NN-DNJ,False,False
FC(F)(F)c1cc(NC(=S)Nc2ccc(Br)cc2-c2nn[nH]n2)cc(c1)C(F)(F)F,NS-11021,False,False
Oc1ccccc1C(=O)\C=C\N1C[C@H]2C[C@@H]1CN2c1ccccn1,PFI-3,False,False
Cc1sc(C)c2c1CCC=C2c1cnc[nH]1 |c:10|,TC-G-1000,False,False
NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(N)=N)cc1,pentamidine,False,False
Cc1cc(nn2cnnc12)N1CCCCC1,zindotrine,False,False
CN1CCN(CC1)c1ccc(cc1NC(=O)c1c[nH]c(=O)cc1C(F)(F)F)-c1cccc(CN2CCOCC2)c1,OICR-9429,False,False
ONC(=O)CCCCCN1C(=O)c2cccc3cccc(C1=O)c23,scriptaid,False,False
CN(C)CCCN1c2ccccc2Sc2ccc(cc12)C(C)=O,acepromazine,False,False
C[C@H](NC(=O)c1ccc2n(Cc3ccc(cc3)-c3ccccc3C(O)=O)c(C)c(C)c2c1)c1ccc(cc1)[N+]([O-])=O,SR-1664,False,False
CC(C)(C)NC[C@@H](O)COc1cc(Cl)ccc1Cl |&1:6|,cloranolol,False,False
CCN(CC)CC(=O)Nc1c(C)cccc1C,lidocaine,False,False
CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](OC(C)=O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1,vecuronium,False,False
"C(C1=NCCN1)C1=Cc2ccccc2CC1 |t:1,7|",napamezole,False,False
C[C@H](NC(=O)[C@@H](O)c1cc(F)cc(F)c1)C(=O)N[C@H]1c2ccccc2-c2ccccc2N(C)C1=O,LY411575,False,False
"O[C@H]1CN[C@@H](C1)C(O)=O |&1:1,&2:4,r|",L-hydroxyproline,False,False
CN(CCN1CCCC1)CCc1ccc(Cl)c(Cl)c1,BD-1008,False,False
"CSC[C@H]1CN(\N=C\c2ccc(o2)[N+]([O-])=O)C(=O)O1 |&1:3,r|",inimur,True,False
Fc1ccc(cc1)-n1cc(C2CCN(CCN3CCNC3=O)CC2)c2cc(Cl)ccc12,sertindole,False,False
CCn1cc(C(O)=O)c(=O)c2cc(F)c(cc12)N1CCN(C)CC1,pefloxacin,True,False
C[N+]1(C)CCC(CC1)=C(c1ccccc1)c1ccccc1,diphemanil,False,False
"CC[C@H](Oc1ccc(Cl)cc1)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)N2C |&1:14,16,19,&2:2,r,TLB:22:21:17.18:14.15.20|",SM-21,False,False
CC(C)c1cc2CC[C@H]3[C@@](C)(CCC[C@]3(C)c2cc1S(O)(=O)=O)C(O)=O,ecabet,False,False
COc1ccc2cc(CCC(C)=O)ccc2c1,nabumetone,False,False
CCCCCCN(CCCCCC)C(=O)Cc1c([nH]c2ccccc12)-c1ccc(F)cc1,FGIN-1-27,False,False
Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc12,dequalinium,False,False
"C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC=C |c:2,4,10|",altrenogest,False,False
"CCCc1c(OC[C@@H](O)COc2ccc3c(oc(cc3=O)C(O)=O)c2CCC)ccc(C(C)=O)c1O |&1:7,r|",FPL-55712,False,False
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ncc2c(O)ncnc12,allopurinol-riboside,False,False
C(N1CCN(CC1)c1ccccn1)c1nc2ccccc2[nH]1,ABT-724,False,False
CCN1C(C)(C)CC(CC1(C)C)Oc1ccc(nc1)C(=O)Nc1ccc(NC(=O)Nc2cc(on2)C(C)(C)C)cc1,AC-710,False,False
CC[C@H]1[C@@H](O)[C@H]2[C@@H]3CC[C@H]([C@H](C)CCC(O)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CC[C@@H](O)C[C@@H]12,INT-747,False,False
Cc1ccc(cc1)N(CC1=NCCN1)c1cccc(O)c1 |t:10|,phentolamine,False,False
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,bisphenol-A,False,False
CN[C@@H](C)[C@H](O)c1ccccc1,ephedrine,False,False
OC1CN(CCCOCCc2ccc3sccc3c2)C1,edonerpic-maleate,False,False
COc1cccc(NC(=O)\C=C\c2ccc(Cl)cc2)c1,SB-366791,False,False
COc1cc(C=O)c(cc1OC)[N+]([O-])=O,DMNB,False,False
CC(C)Oc1ccc(Cc2ccc(NC3=NCCN3)cc2)cc1 |t:14|,Ro-1138452,False,False
O1[n+]2ccccc2S[Zn]11O[n+]2ccccc2S1,pyrithione-zinc,True,False
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N(CC(O)=O)C1Cc2ccccc2C1,delapril,False,False
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O |t:12|,lornoxicam,False,False
"[O-][N+](=O)c1ccccc1S(=O)(=O)NC[C@H]1CC[C@H](CNC[C@H]2CCc3ccccc3C2)CC1 |a:14,17,&1:21|",NTNCB,False,False
CCCCNc1ncc2c(cn([C@H]3CC[C@H](O)CC3)c2n1)-c1ccc(CN2CCN(C)CC2)cc1 |r|,UNC2025,False,False
Cc1cnc(cn1)C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1,glipizide,False,False
COc1ccc(CNC(=O)Nc2ncc(s2)[N+]([O-])=O)cc1,AR-A014418,False,False
Cc1c(Cl)cccc1Nc1ncccc1C(O)=O,clonixin,False,False
CN(C)CCCOc1ccc(cn1)-c1ccc2ncc3n(C)c(=O)n(C4CCOCC4)c3c2c1,AZD0156,False,False
NS(=O)(=O)c1nn2cc(nc2s1)-c1ccccc1,AEG3482,False,False
CC[N+](CC)(CC)CC(=O)Nc1c(C)cccc1C,QX-314,False,False
Cn1nccc1-c1ccc(Sc2cccc(c2)C2(CCOCC2)C(N)=O)cc1,PF-4191834,False,False
OCCc1ccc(NC(=O)c2ccccc2NC(=O)c2ccc(cc2)[N+]([O-])=O)cc1,KS-176,False,False
COC(=O)Nc1nc2ccc(SC(C)C)cc2[nH]1,methiazole,False,False
Cc1cc(ccn1)-c1ccc(CC(=O)Nc2ccc(cc2)-c2cccnc2)cc1,wnt-c59,False,False
NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,cenobamate,False,False
Cc1cc(C)c(c(C)c1)S(=O)(=O)Nc1cccc(c1)C(F)(F)F,m-3M3FBS,False,False
"CCC(=O)O[C@@H](OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C |a:5,24,26,&1:7|",fosinopril,False,False
CCn1cc(C(O)=O)c(=O)c2cc(F)c(N3CCN[C@@H](C)C3)c(F)c12 |&1:19|,lomefloxacin,True,False
CC[C@]1(CCCCN(C)C1)c1cccc(O)c1 |&1:2|,meptazinol,False,False
"Oc1ccc(O[C@H]2CCCCO2)cc1 |&1:6,r|",deoxyarbutin,False,False
OC(=O)c1ccccc1C(=O)Nc1ccc(cc1)-c1ccccc1,kartogenin,False,False
C[N+](C)(C)CCCCCC[N+](C)(C)C,hexamethonium,False,False
N[C@@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O,"3,4-DCPG-(R)",False,False
CCc1nc2c(C)nc(C)cc2n1-c1ccc(CCNC(=O)NS(=O)(=O)c2ccc(C)cc2)cc1,grapiprant,False,False
"O[C@@H](CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N |&1:1,r|",ICI-89406,False,False
CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc1ccccc1,denatonium-benzoate,False,False
CC(C)NC(=O)N1CC[C@@H](C1)NC1=Nc2cc(F)ccc2N(CC(F)F)c2ccc(Cl)cc12 |t:13|,NVS-PAK1-1,False,False
COc1cc(ccc1O)[C@H]1Oc2cc(ccc2O[C@@H]1CO)[C@H]1Oc2cc(O)cc(O)c2C(=O)[C@@H]1O,silibinin,False,False
CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc(O)c2)CC1,SB-269970,False,False
